category,title,content
computer,Computer science,"of computer science Computer science is the study of computation, information, and automation. Included broadly in the sciences, computer science spans"
computer,Foobar,"baz, quux, and others are used as metasyntactic variables in computer programming or computer-related documentation. They have been used to name entities"
computer,Glossary of computer science,"This glossary of computer science is a list of definitions of terms and concepts used in computer science, its sub-disciplines, and related fields, including"
computer,Computer graphics (computer science),Computer graphics is a sub-field of computer science which studies methods for digitally synthesizing and manipulating visual content. Although the term
computer,Garbage collection (computer science),"In computer science, garbage collection (GC) is a form of automatic memory management. The garbage collector attempts to reclaim memory that was allocated"
computer,Theoretical computer science,Theoretical computer science is a subfield of computer science and mathematics that focuses on the abstract and mathematical foundations of computation
computer,Heuristic (computer science),"In mathematical optimization and computer science, heuristic (from Greek εὑρίσκω eurísko &quot;I find, discover&quot;) is a technique designed for problem solving"
computer,Computer science and engineering,Computer science and engineering (CSE) is an academic subject comprising approaches of computer science and computer engineering. There is no clear division
computer,Consensus (computer science),"called MSR-type algorithms which have been used widely in fields from computer science to control theory. Bitcoin uses proof of work, a difficulty adjustment"
computer,AP Computer Science A,"(AP) Computer Science A (also known as AP CompSci, AP CompSci A, AP CSA, AP Computer Science Applications, or AP Java) is an AP Computer Science course"
computer,Paxos (computer science),"In computer science, Paxos is a family of protocols for solving consensus in a network of unreliable or fallible processors. Consensus is the process of"
computer,Robustness (computer science),"In computer science, robustness is the ability of a computer system to cope with errors during execution and cope with erroneous input. Robustness can"
computer,Computer science (disambiguation),"Look up computer science in Wiktionary, the free dictionary. Computer science is the study of computation, information, and automation. It may also refer"
computer,Integer (computer science),"In computer science, an integer is a datum of integral data type, a data type that represents some range of mathematical integers. Integral data types"
computer,Marshalling (computer science),"In computer science, marshalling or marshaling (US spelling) is the process of transforming the memory representation of an object into a data format suitable"
computer,String (computer science),"formal languages, which are used in mathematical logic and theoretical computer science, a string is a finite sequence of symbols that are chosen from a set"
computer,Computer,Computability theory Computer security Glossary of computer hardware terms History of computer science List of computer term etymologies List of computer system manufacturers
computer,History of computer science,"The history of computer science began long before the modern discipline of computer science, usually appearing in forms like mathematics or physics. Developments"
computer,Input (computer science),"In computer science, the general meaning of input is to provide or give something to the computer, in other words, when a computer or device is receiving"
computer,Abstraction (computer science),abstractions (computer science) Refinement for the opposite of abstraction in computing Indirection Integer (computer science) Heuristic (computer science) Colburn
computer,Computer engineering,engineering and computer science. Computer engineering may be referred to as Electrical and Computer Engineering or Computer Science and Engineering at
computer,AP Computer Science,Computer Science (shortened to AP Comp Sci or APCS) program includes two Advanced Placement courses and examinations covering the field of computer science
computer,Software engineering,"Software engineering is a branch of both computer science and engineering focused on designing, developing, testing, and maintaining software applications"
computer,Polling (computer science),Abstraction (computer science) Asynchronous I/O Bit banging Infinite loop Interrupt request (PC architecture) Integer (computer science) kqueue Pull technology
computer,Outline of computer science,Computer science (also called computing science) is the study of the theoretical foundations of information and computation and their implementation and
computer,List of computer science conferences,"This is a list of current and past academic conferences in computer science. Only conferences with separate articles are included; within each field, the"
computer,Persistence (computer science),"In computer science, persistence refers to the characteristic of state of a system that outlives (persists for longer than) the process that created it"
computer,Recursion (computer science),"In computer science, recursion is a method of solving a computational problem where the solution depends on solutions to smaller instances of the same"
computer,List of pioneers in computer science,computer science awards List of computer science journals List of computer scientists List of Internet pioneers List of pioneers in computer science List
computer,Unification (computer science),"In logic and computer science, specifically automated reasoning, unification is an algorithmic process of solving equations between symbolic expressions"
computer,State (computer science),"In information technology and computer science, a system is described as stateful if it is designed to remember preceding events or user interactions;"
computer,Diploma in Computer Science,The Diploma in Computer Science is a diploma offered by several post-secondary institutions: Cambridge Diploma in Computer Science – this University of
computer,Polymorphism (computer science),"1023/A:1010000313106. ISSN 1573-0557. S2CID 14124601. Tucker, Allen B. (2004). Computer Science Handbook (2nd ed.). Taylor &amp; Francis. pp. 91–. ISBN 978-1-58488-360-9"
computer,Ontology (information science),Knowledge Sharing&quot; by Tom Gruber used ontology as a technical term in computer science closely related to earlier idea of semantic networks and taxonomies
computer,Philosophy of computer science,The philosophy of computer science is concerned with the philosophical questions that arise within the study of computer science. There is still no common
computer,Bachelor of Science,"BS degree in computer science from its College of Engineering and a BA degree in computer science from its College of Arts and Sciences. Likewise, for"
computer,Decomposition (computer science),"In computer science, decomposition is the process of identifying and organising a complex system into smaller components or layers of abstraction. Decomposition"
computer,List of computer science awards,This list of computer science awards is an index to articles on notable awards related to computer science. It includes lists of awards by the Association
computer,Deadlock (computer science),"Readers-writer lock Sleeping barber problem Stalemate Synchronization (computer science) Turn restriction routing Coulouris, George (2012). Distributed Systems"
computer,Correctness (computer science),"In theoretical computer science, an algorithm is correct with respect to a specification if it behaves as specified. Best explored is functional correctness"
computer,Lock (computer science),"In computer science, a lock or mutex (from mutual exclusion) is a synchronization primitive that prevents state from being modified or accessed by multiple"
computer,Concurrency (computer science),"In computer science, concurrency refers to the ability of a system to execute multiple tasks through simultaneous execution or time-sharing (context switching)"
computer,Object (computer science),(computer programming) Class-based programming Data transfer object Declaration (computer programming) Distributed object Instance (computer science)
computer,Record (computer science),"In computer science, a record (also called a structure, struct, user-defined type (UDT), or compound data type) is a composite data structure – a collection"
computer,Information technology,and telephones. Information technology is an application of computer science and computer engineering. An information technology system (IT system) is
computer,Precision (computer science),"In computer science, the precision of a numerical quantity is a measure of the detail in which the quantity is expressed. This is usually measured in bits"
